"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"Close Ended","HDFC FMP 1134D September 2014 (1)","131277","HDFC FMP 1134D September 2014 (1) Series 32 - Direct - Normal IDCW","04 Aug, 2017","13.0507"
"Close Ended","HDFC FMP 1134D September 2014 (1)","131278","HDFC FMP 1134D Septembert 2014 (1) Series 32 - Regular - Flexi","11 Aug, 2017","12.9539"
"Close Ended","HDFC FMP 1134D September 2014 (1)","131279","HDFC FMP 1134D September 2014 (1) Series 32 - Direct - Flexi","04 Aug, 2017","13.0507"
"Close Ended","HDFC FMP 1134D September 2014 (1)","131280","HDFC FMP 1134D September 2014 (1) Series 32 - Direct - Growth","11 Aug, 2017","13.0665"
"Close Ended","HDFC FMP 1134D September 2014 (1)","131281","HDFC FMP 1134D September 2014 (1) Series 32 - Direct - Quarterly IDCW","04 Aug, 2017","10.0954"
"Close Ended","HDFC FMP 1134D September 2014 (1)","131282","HDFC FMP 1134D September 2014 (1) Series 32 - Regular - Normal IDCW","11 Aug, 2017","12.9539"
"Close Ended","HDFC FMP 1134D September 2014 (1)","131283","HDFC FMP 1134D September 2014 (1) Series 32 - Regular - Growth","04 Aug, 2017","12.9390"
"Close Ended","HDFC FMP 1134D September 2014 (1)","131284","HDFC FMP 1134D September 2014 (1) Series 32 - Regular - Quarterly IDCW","11 Aug, 2017","10.1038"
"Close Ended","HDFC FMP 554D November 2013 (1)","125329","HDFC FMP 554D November 2013 (1) Series 28 - Direct - Quarterly IDCW","03 Jan, 2017","10.1329"
"Close Ended","HDFC FMP 554D November 2013 (1)","125330","HDFC FMP 554D November 2013 (1) Series 28 - Regular - Normal IDCW","01 Jun, 2017","10.0000"
"Close Ended","HDFC FMP 554D November 2013 (1)","125331","HDFC FMP 554D November 2013 (1) Series 28 - Regular - Flexi","03 Jan, 2017","12.9740"
"Close Ended","HDFC FMP 554D November 2013 (1)","125332","HDFC FMP 554D November 2013 (1) Series 28 - Regular - Growth","01 Jun, 2017","13.3013"
"Close Ended","HDFC FMP 554D November 2013 (1)","125333","HDFC FMP 554D November 2013 (1) Series 28 - Regular - Quarterly IDCW","03 Jan, 2017","11.1930"
"Close Ended","HDFC FMP 554D November 2013 (1)","125334","HDFC FMP 554D November 2013 (1) Series 28 - Direct - Normal IDCW","01 Jun, 2017","10.0000"
"Close Ended","HDFC FMP 554D November 2013 (1)","125335","HDFC FMP 554D November 2013 (1) Series 28 - Direct - Flexi","03 Jan, 2017","13.0633"
"Close Ended","HDFC FMP 554D November 2013 (1)","125336","HDFC FMP 554D November 2013 (1) Series 28 - Direct - Growth","01 Jun, 2017","13.3984"
"Close Ended","HDFC FMP 371D November 2013 (1)","125326","HDFC FMP 371D November 2013 (1)-Regular Option-Flexi Option","04 Dec, 2013","10.0000"
"Close Ended","HDFC FMP 371D November 2013 (1)","125328","HDFC FMP 371D November 2013 (1)-Regular Option-Quarterly IDCW Option","13 Jan, 2014","10.1436"
"Close Ended","HDFC FMP 371D November 2013 (1)","125321","HDFC FMP 371D November 2013 (1) Series 28 - Direct - Normal IDCW","22 Feb, 2016","11.0942"
"Close Ended","HDFC FMP 371D November 2013 (1)","125322","HDFC FMP 371D November 2013 (1) Series 28 - Direct - Flexi","08 Nov, 2016","12.8243"
